US,UK,ROU,POL,NL,MEX,ITA,FRE,SPA,GER,CZE,BRA
,shagging,,,Motherf0cker,,,orgy,,Vollidiot,,
,shat,,,Motherfocker,,,paidale,,Vollkotfresse,,
,shemale,,,motherfucker,,,partouse,,Vollnappel,,
,shirtlifter,,,motherfuckers,,,partouze,,Vollpfosten,,
,shirtlifters,,,motherfucking,,,pd,,Vollschwachmat,,
,shirtlifting,,,motherukka,,,pdsexuel,,Vollspack,,
,shit,,,muschi,,,pds,,Vollspacko,,
,shitcunt,,,mutherfuka,,,ped,,Vollspaten,,
,shitcunts,,,mutta,,,pede,,Vollsprallo,,
,shite,,,n!gga,,,pederaste,,wop,,
,shiteater,,,n!gger,,,pederastes,,zwitter,,
,shiteater,,,n*gger,,,pedes,,zzzzzfiles,,
,shiteating,,,n166er,,,pedesexuel,,,,
,shites,,,n1gga,,,pedesexuels,,,,
,shits,,,n1gger,,,pedophil,,,,
,shitstabber,,,n4zi,,,pédoque,,,,
,shitstabbers,,,nazi,,,Penis,,,,
,shitstain,,,ngger,,,pénis,,,,
,shitstains,,,ni66ar,,,pennis,,,,
,shitstainz,,,ni66er,,,Perver,,,,
,shitter,,,ni6ger,,,Pervers,,,,
,shitting,,,nigga,,,perverse,,,,
,shitty,,,niggah,,,petasse,,,,
,shlt,,,nigger,,,pétasse,,,,
,shyt,,,niggers,,,petasses,,,,
,skank,,,nlgger,,,piner,,,,
,sklave,,,nobhead,,,pines,,,,
,slapper,,,nobjockey,,,pinne,,,,
,slappers,,,nobstick,,,pinner,,,,
,slut,,,nutsack,,,pinner,,,,
,slutbag,,,nutte,,,pipe,,,,
,slutbags,,,nympho,,,piper,,,,
,sluts,,,orgasm,,,pipes,,,,
,slutty,,,orgy,,,Piss,,,,
,snatch,,,pendejo,,,pisse,,,,
,sodomise,,,penis,,,pissent,,,,
,sodomised,,,penner,,,pisser,,,,
,sodomiser,,,penus,,,pisses,,,,
,sodomisers,,,phuck,,,porn,,,,
,sodomises,,,pimmel,,,Porno,,,,
,sodomising,,,pimp,,,poufe,,,,
,sodomize,,,pimpis,,,pouffe,,,,
,sodomized,,,pinche,,,pouffes,,,,
,sodomizer,,,piss,,,pouffiasse,,,,
,sodomizes,,,pisser,,,poufiasse,,,,
,sodomizers,,,Poof,,,prorat,,,,
,sodomizing,,,poontang,,,PRORAT,,,,
,sodomy,,,poopshoot,,,prorate,,,,
,spaff,,,porchmonkey,,,prorat,,,,
,spaffed,,,porn,,,prostitue,,,,
,spaffs,,,porno,,,prostituee,,,,
,spass,,,prick,,,prostituer,,,,
,spast,,,prostitute,,,prostitut,,,,
,spastic,,,pubes,,,Prostitute,,,,
,spaz,,,pusse,,,prostitution,,,,
,spazz,,,pussies,,,ptain,,,,
,sperm,,,pussis,,,pteux,,,,
,sperma,,,pussy,,,ptin,,,,
,sperms,,,puta,,,Pussi,,,,
,spic,,,putang,,,Pussy,,,,
,spick,,,puto,,,putain,,,,
,spicks,,,queef,,,putasse,,,,
,spics,,,queer,,,putasses,,,,
,spik,,,rape,,,pute,,,,
,spiks,,,raped,,,putes,,,,
,spliff,,,raping,,,putin,,,,
,spliffs,,,rectal,,,puttain,,,,
,stfu,,,rimjob,,,puttains,,,,
,stiffy,,,s.o.b.,,,putte,,,,
,stiphy,,,sausagejockey,,,puttes,,,,
,tart,,,schamhaar,,,quequette,,,,
,tarts,,,scheisse,,,quéquette,,,,
,tartz,,,schwanz,,,quequettes,,,,
,teabagger,,,schwuchtel,,,quéquettes,,,,
,teabaggers,,,schwul,,,race,,,,
,teabagging,,,screw,,,racial,,,,
,threesome,,,scrotum,,,rectum,,,,
,tits,,,sh!+,,,rectus,,,,
,titt,,,sh!t,,,reubeu,,,,
,titties,,,sh*t,,,roter,,,,
,titty,,,sh1t,,,rotes,,,,
,tosser,,,shemale,,,s.a.l.o.p.e,,,,
,tossers,,,shi+,,,sadism,,,,
,trollop,,,shit,,,sadist,,,,
,trollops,,,shitcunt,,,salaud,,,,
,trottel,,,shite,,,salauds,,,,
,turd,,,shits,,,salaupe,,,,
,turdburglar,,,shitter,,,salo,,,,
,turds,,,shitty,,,salop,,,,
,tw@t,,,shlt,,,salope,,,,
,twat,,,shyt,,,salope,,,,
,twatface,,,skank,,,saloperie,,,,
,twathead,,,sklave,,,saloperies,,,,
,twatheads,,,slut,,,salopes,,,,
,twats,,,snatch,,,salopes,,,,
,twatted,,,spast,,,saloppe,,,,
,twatting,,,sperma,,,saloppe,,,,
,twattybollocks,,,spic,,,saloppes,,,,
,twatz,,,spics,,,salops,,,,
,vadge,,,stok,,,satan,,,,
,vadges,,,stoke,,,satanic,,,,
,vage,,,tampon,,,satanist,,,,
,vages,,,tits,,,sataniste,,,,
,vagina,,,titt,,,se><,,,,
,vaginas,,,titties,,,sex,,,,
,vd,,,titty,,,Sexe,,,,
,vulva,,,torte,,,sexes,,,,
,vulvas,,,tosser,,,shab,,,,
,w00se,,,trottel,,,shetan,,,,
,w@nker,,,twat,,,skinhead,,,,
,wang,,,twats,,,sodomie,,,,
,wangs,,,vagina,,,sodomies,,,,
,wank,,,vaginas,,,sodomise,,,,
,wankbag,,,w00se,,,sodomiser,,,,
,wankchariot,,,wang,,,sousmerde,,,,
,wanked,,,wank,,,sous-merde,,,,
,wanker,,,wanker,,,sperm,,,,
,wankers,,,wetback,,,sperme,,,,
,wanking,,,wetfart,,,suc,,,,
,wanks,,,wh0re,,,suce,,,,
,wanksock,,,whoar,,,sucent,,,,
,wankstain,,,whoore,,,sucer,,,,
,wankstains,,,whore,,,suces,,,,
,weed,,,whores,,,suceur,,,,
,wetback,,,wichser,,,suceurs,,,,
,wetfart,,,wixer,,,suceuse,,,,
,wh0re,,,wixxer,,,suceuses,,,,
,whoar,,,wpww,,,suck,,,,
,whoore,,,www[^\s]*,,,susse,,,,
,whore,,,,,,susse,,,,
,whores,,,,,,susse,,,,
,whorez,,,,,,t’emmerde,,,,
,whoring,,,,,,tantouse,,,,
,whors,,,,,,tantouses,,,,
,whorz,,,,,,tantouze,,,,
,wichser,,,,,,tantouzes,,,,
,wixer,,,,,,tantra,,,,
,wixxer,,,,,,Tantra,,,,
,wog,,,,,,tantraisme,,,,
,wogs,,,,,,tapette,,,,
,wop,,,,,,tarlouze,,,,
,wpww,,,,,,tasspe,,,,
,www[^\s]*,,,,,,tasspé,,,,
,zzzzzfiles,,,,,,telma,,,,
,,,,,,,tepu,,,,
,,,,,,,testicule,,,,
,,,,,,,Testicules,,,,
,,,,,,,teuch,,,,
,,,,,,,tg,,,,
,,,,,,,tin,,,,
,,,,,,,tringle,,,,
,,,,,,,tringler,,,,
,,,,,,,tripote,,,,
,,,,,,,tripotee,,,,
,,,,,,,tripoter,,,,
,,,,,,,triquer,,,,
,,,,,,,tronche,,,,
,,,,,,,troncher,,,,
,,,,,,,troncher,,,,
,,,,,,,trouduc,,,,
,,,,,,,trouduk,,,,
,,,,,,,turlute,,,,
,,,,,,,turluter,,,,
,,,,,,,turlutes,,,,
,,,,,,,turlutte,,,,
,,,,,,,turlutter,,,,
,,,,,,,turluttes,,,,
,,,,,,,vagin,,,,
,,,,,,,vagins,,,,
,,,,,,,vibro,,,,
,,,,,,,voggle,,,,
,,,,,,,vogueul,,,,
,,,,,,,vtf,,,,
,,,,,,,vtff,,,,
,,,,,,,vulve,,,,
,,,,,,,vulves,,,,
,,,,,,,www,,,,
,,,,,,,yoom,,,,
,,,,,,,youpin,,,,
,,,,,,,youpins,,,,
,,,,,,,zabour,,,,
,,,,,,,zboub,,,,
,,,,,,,zerma,,,,
,,,,,,,zob,,,,
,,,,,,,zobe,,,,
,,,,,,,zober,,,,
,,,,,,,zobes,,,,
,,,,,,,zobi,,,,
,,,,,,,zobis,,,,
,,,,,,,Zobs,,,,
